geo,year,saving,headline_infl,energy_infl
ES,2024,12.74,2.875,0.9833333333333334
FI,2024,12.42,0.9750000000000001,-7.933333333333334
FR,2024,17.93,2.3249999999999997,2.2666666666666666
HU,2024,19.04,3.716666666666667,-1.8
IE,2024,13.49,1.3333333333333333,-7.7
IT,2024,11.21,1.075,-9.791666666666666
LT,2024,7.63,0.8583333333333334,-9.458333333333334
LV,2024,4.94,1.3666666666666665,-9.283333333333333
NL,2024,16.54,3.225,0.17499999999999996
PL,2024,7.77,3.65,1.8833333333333335
PT,2024,12.53,2.6750000000000003,3.2416666666666667
SE,2024,18.7,2.0,-8.483333333333333
SI,2024,13.31,2.0083333333333333,-2.1
SK,2024,8.06,3.141666666666667,-0.9166666666666666
DE,2025,19.2,2.2666666666666666,-2.2666666666666666
DK,2025,14.32,1.825,-1.3166666666666667
FI,2025,12.42,1.8083333333333333,-3.6750000000000003
IT,2025,11.01,1.6416666666666666,-2.275
NL,2025,17.32,2.983333333333333,-0.10833333333333332
PT,2025,12.13,2.1999999999999997,-0.19999999999999996
SE,2025,17.1,2.6083333333333334,1.8583333333333334
