quarter,F2,F3,F5,F6,F4,HPI
2015-07-01,-0.04720823667443419,-2.2284183226850884,-2.515572802610355,1.0547585587546093,0.3018148748285876,0.9
2015-10-01,1.3259383734748553,-2.522334111920632,4.419293709029493,1.5220758383308164,0.37467544684550713,0.2
2016-01-01,0.39775714870744494,-4.840042664035115,2.3696368565730097,2.6756361067538537,-0.0015225977954558267,0.9
2016-04-01,1.458650523717342,-3.1942794599861823,-0.06363544566450052,1.577475172097098,0.7189575848282281,1.7
2016-07-01,0.3586404687144329,-3.0996834845206545,2.759432399969386,1.5410113789259938,0.5121338794948915,1.5
2016-10-01,1.667074664528223,-4.562072559394581,2.659290172619033,1.3673771906540733,0.49000345456393646,0.5
2017-01-01,0.4472314965195956,-3.3462824733846652,4.213475535112687,0.6359371972881611,0.8184039909050034,0.6
2017-04-01,1.2420096340405085,-4.3844797295960465,1.22046276277874,0.13206163982695251,0.8250903475415017,1.6
2017-07-01,0.21021681682440452,-1.6400566509810477,1.4799775170203588,0.5450808836987564,0.5679809459953056,1.6
2017-10-01,1.389192747220891,-5.056430281614521,1.159396097269516,1.3153205288475522,0.7188428114871304,0.8
2018-01-01,0.27646276722128604,-4.915311426464508,0.4588035726952766,0.8753242052753851,0.12882413661510217,0.9
2018-04-01,1.7404770757620591,-1.3425456326144114,0.7610785949532906,0.6921538589341303,0.8096737541614552,1.6
2018-07-01,0.2513352626333676,-0.7969724281499335,0.7779168560496652,-0.20752608104194215,0.6480696503196492,1.6
2018-10-01,1.651509262255968,-0.16177589515969926,-5.580808271272608,-0.3179910111963391,0.7610832183571503,0.6
2019-01-01,1.1046508376099995,-0.6366299805826814,5.239824963570872,4.54501159093883,0.5386886299598714,0.4
