geo,quarter,saving,spread,sav_intent,unemp_exp,headline_infl,energy_infl
FR,2004Q1,14.387001149807876,0.043333333333333,-12.666666666666666,29.2,2.0,-2.566666666666667
FR,2004Q2,14.522795317029347,0.08333333333333393,-10.766666666666666,35.43333333333334,2.6333333333333333,4.966666666666667
FR,2004Q3,14.665064719723626,0.043333333333333,-12.299999999999999,34.03333333333333,2.466666666666667,6.5
FR,2004Q4,14.454825637779438,0.07666666666666666,-10.866666666666667,28.133333333333336,2.2333333333333334,10.166666666666666
FR,2005Q1,14.271399458881024,0.043333333333333,-14.266666666666666,30.433333333333334,1.8666666666666665,8.333333333333334
FR,2005Q2,14.088757377444828,0.07000000000000028,-15.433333333333332,38.96666666666667,1.8333333333333333,8.833333333333334
FR,2005Q3,13.680786657194506,0.06666666666666643,-13.233333333333334,29.433333333333334,2.033333333333333,12.733333333333334
FR,2005Q4,13.70693001283461,0.04666666666666641,-18.566666666666666,13.800000000000002,1.8666666666666665,9.299999999999999
FR,2006Q1,13.417112347211186,0.036666666666666625,-15.333333333333334,14.833333333333334,1.9666666666666668,10.200000000000001
FR,2006Q2,13.471435702739035,0.04999999999999982,-13.733333333333334,21.566666666666666,2.1666666666666665,10.6
FR,2006Q3,13.597697648683747,0.019999999999999574,-11.633333333333333,6.266666666666667,1.9333333333333336,5.233333333333333
FR,2006Q4,14.046192734612799,0.03000000000000025,-12.733333333333334,11.033333333333333,1.5,0.3666666666666667
FR,2007Q1,14.473099989500666,0.05333333333333368,-12.833333333333334,11.5,1.2666666666666666,-0.03333333333333336
FR,2007Q2,14.840958410070396,0.05999999999999961,-8.266666666666667,3.1,1.2666666666666666,-0.6666666666666666
FR,2007Q3,14.754778076133313,0.1033333333333335,-6.8999999999999995,-0.5333333333333332,1.3666666666666665,-0.26666666666666666
FR,2007Q4,14.414826492645883,0.13333333333333375,-13.466666666666669,7.066666666666666,2.5,8.566666666666666
FR,2008Q1,14.337069666674443,0.15666666666666584,-16.099999999999998,10.566666666666666,3.3000000000000003,11.966666666666667
FR,2008Q2,14.326677885055277,0.21666666666666679,-19.53333333333333,12.9,3.6999999999999997,15.1
FR,2008Q3,14.20272510321702,0.22333333333333272,-18.8,24.633333333333336,3.6333333333333333,15.700000000000001
FR,2008Q4,14.377892383252894,0.4033333333333333,-19.266666666666666,59.36666666666667,2.033333333333333,1.0
FR,2009Q1,14.558296532430585,0.5700000000000003,-17.066666666666666,69.03333333333333,0.7333333333333334,-9.466666666666667
FR,2009Q2,14.926713360133725,0.46333333333333293,-14.933333333333332,67.46666666666667,-0.26666666666666666,-15.166666666666666
FR,2009Q3,15.642245532908976,0.3333333333333335,-13.233333333333334,60.633333333333326,-0.46666666666666673,-14.699999999999998
FR,2009Q4,15.732009964539717,0.34333333333333327,-7.833333333333333,45.9,0.43333333333333335,-4.466666666666666
FR,2010Q1,15.740754128456858,0.3100000000000005,-8.566666666666666,42.9,1.4333333333333333,6.8999999999999995
FR,2010Q2,15.814642027872033,0.40666666666666673,-9.366666666666667,43.6,1.8333333333333333,11.633333333333333
FR,2010Q3,15.691658208239675,0.3600000000000003,-9.733333333333333,34.06666666666667,1.7666666666666666,9.299999999999999
FR,2010Q4,15.43428537579467,0.42333333333333334,-8.200000000000001,28.733333333333334,1.8666666666666665,10.833333333333334
FR,2011Q1,15.087960242517003,0.4066666666666672,-8.066666666666666,31.166666666666668,2.0,14.1
FR,2011Q2,15.10006361196176,0.4400000000000004,-12.233333333333334,24.566666666666663,2.2333333333333334,11.866666666666667
FR,2011Q3,14.98303336614938,0.7466666666666661,-13.6,37.833333333333336,2.3000000000000003,11.700000000000001
FR,2011Q4,15.053041839816224,1.2533333333333336,-6.633333333333333,45.166666666666664,2.6333333333333333,10.366666666666667
FR,2012Q1,15.203056900342991,1.216666666666667,-8.799999999999999,44.6,2.566666666666667,7.333333333333333
FR,2012Q2,15.338580186409567,1.35,-4.333333333333333,38.0,2.3333333333333335,4.533333333333334
FR,2012Q3,15.454470116597582,0.8566666666666667,-7.333333333333333,53.93333333333334,2.266666666666667,5.333333333333333
FR,2012Q4,15.185154358493463,0.7433333333333332,-5.8,51.166666666666664,1.7333333333333334,3.5
FR,2013Q1,15.064237100526745,0.6933333333333334,-7.666666666666667,53.13333333333333,1.2333333333333334,1.9333333333333333
FR,2013Q2,14.423179104710536,0.6200000000000001,-10.966666666666667,52.56666666666666,0.9,0.5
FR,2013Q3,14.021852304944964,0.6400000000000001,-9.799999999999999,39.1,1.0666666666666667,0.8000000000000002
FR,2013Q4,13.867329681852148,0.5833333333333333,-8.299999999999999,34.96666666666667,0.7666666666666666,0.3666666666666667
FR,2014Q1,13.935694218799197,0.6499999999999997,-9.133333333333335,37.1,0.9,-0.7666666666666666
FR,2014Q2,13.947787009581427,0.5100000000000002,-9.9,39.300000000000004,0.7333333333333334,0.4666666666666666
FR,2014Q3,14.071572269783697,0.4466666666666669,-6.7,44.13333333333333,0.5,-0.9666666666666665
FR,2014Q4,14.150447075391714,0.4066666666666666,-8.6,38.93333333333334,0.3333333333333333,-2.033333333333333
FR,2015Q1,13.989198892328691,0.2866666666666667,-8.6,34.36666666666667,-0.2333333333333333,-5.1000000000000005
FR,2015Q2,13.84635123155771,0.3533333333333332,-9.466666666666667,37.3,0.2333333333333333,-2.6666666666666665
FR,2015Q3,13.6298858606697,0.3833333333333334,-9.466666666666667,33.03333333333333,0.13333333333333333,-4.833333333333333
FR,2015Q4,13.60890948581285,0.3633333333333334,-6.7,27.466666666666665,0.19999999999999998,-5.3999999999999995
FR,2016Q1,13.516465724740142,0.38999999999999996,-10.766666666666666,25.166666666666668,0.033333333333333326,-5.633333333333333
FR,2016Q2,13.500252171556838,0.39,-14.366666666666667,21.233333333333334,0.09999999999999999,-4.733333333333333
FR,2016Q3,13.54555392884318,0.29,-11.533333333333333,20.133333333333336,0.43333333333333335,-1.9000000000000001
FR,2016Q4,13.414151744022954,0.4366666666666667,-8.1,17.7,0.6666666666666666,2.233333333333333
FR,2017Q1,13.525941998724626,0.6833333333333333,-7.1000000000000005,12.433333333333332,1.4666666666666668,10.200000000000001
